Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.42714992550111586,80.64516129032258,0.35063689370309153,82.66129032258065
2,0.1609772993552108,93.44758064516128,0.18463681013353408,91.93548387096774
3,0.06758750374278714,97.88306451612904,0.14911748036261527,93.95161290322581
4,0.03431238598310419,99.09274193548387,0.18343182965632407,93.14516129032258
5,0.02128415717743337,99.44556451612904,0.06544586078774545,98.38709677419355
6,0.014415195164826488,99.64717741935483,0.07566022896958936,97.17741935483872
7,0.007419657949808865,99.79838709677419,0.05111104802739236,97.58064516129032
8,0.005977264499374395,99.84879032258065,0.05003740181846003,97.98387096774194
9,0.006161558213211867,99.8991935483871,0.05169769773079503,97.98387096774194
10,0.004052259877601999,99.8991935483871,0.04833637220003913,98.38709677419355
11,0.004053856345689705,99.94959677419355,0.07425697580460579,97.17741935483872
12,0.0036356531892388667,100.0,0.03007079534713299,99.19354838709677
13,0.011587755552271472,99.54637096774194,0.05253143671659693,98.38709677419355
14,0.005805674869231054,99.84879032258065,0.08137749664245113,96.7741935483871
15,0.00500396654646348,99.8991935483871,0.07337660150181863,97.58064516129032
16,0.002416047415834093,99.94959677419355,0.08737143847129998,96.37096774193549
17,0.0012478618380320709,99.94959677419355,0.041673065433579105,98.79032258064517
18,0.0010024134435591423,100.0,0.058461065614415754,97.58064516129032
19,0.0010937693692657405,100.0,0.051447545749045184,97.98387096774194
20,0.0032914901762964173,99.84879032258065,0.03283713676876599,98.38709677419355
21,0.000545191947821877,100.0,0.04506991346997599,97.98387096774194
