image_name,class,width,height
0664.jpg,squamous_cell_carcinoma,768,768
1269.jpg,squamous_cell_carcinoma,768,768
3863.jpg,squamous_cell_carcinoma,768,768
2193.jpg,squamous_cell_carcinoma,768,768
0733.jpg,squamous_cell_carcinoma,768,768
3750.jpg,squamous_cell_carcinoma,768,768
2008.jpg,squamous_cell_carcinoma,768,768
2081.jpg,squamous_cell_carcinoma,768,768
0106.jpg,squamous_cell_carcinoma,768,768
0375.jpg,squamous_cell_carcinoma,768,768
3919.jpg,squamous_cell_carcinoma,768,768
3757.jpg,squamous_cell_carcinoma,768,768
4489.jpg,squamous_cell_carcinoma,768,768
3138.jpg,squamous_cell_carcinoma,768,768
3417.jpg,squamous_cell_carcinoma,768,768
4407.jpg,squamous_cell_carcinoma,768,768
1700.jpg,squamous_cell_carcinoma,768,768
1786.jpg,squamous_cell_carcinoma,768,768
2907.jpg,squamous_cell_carcinoma,768,768
1075.jpg,squamous_cell_carcinoma,768,768
4969.jpg,squamous_cell_carcinoma,768,768
3501.jpg,squamous_cell_carcinoma,768,768
2863.jpg,squamous_cell_carcinoma,768,768
4640.jpg,squamous_cell_carcinoma,768,768
4125.jpg,squamous_cell_carcinoma,768,768
2628.jpg,squamous_cell_carcinoma,768,768
3363.jpg,squamous_cell_carcinoma,768,768
4009.jpg,squamous_cell_carcinoma,768,768
0285.jpg,squamous_cell_carcinoma,768,768
3228.jpg,squamous_cell_carcinoma,768,768
1789.jpg,squamous_cell_carcinoma,768,768
0591.jpg,squamous_cell_carcinoma,768,768
3446.jpg,squamous_cell_carcinoma,768,768
1792.jpg,squamous_cell_carcinoma,768,768
4772.jpg,squamous_cell_carcinoma,768,768
0799.jpg,squamous_cell_carcinoma,768,768
2936.jpg,squamous_cell_carcinoma,768,768
2029.jpg,squamous_cell_carcinoma,768,768
4313.jpg,squamous_cell_carcinoma,768,768
1411.jpg,squamous_cell_carcinoma,768,768
4275.jpg,squamous_cell_carcinoma,768,768
0074.jpg,squamous_cell_carcinoma,768,768
3532.jpg,squamous_cell_carcinoma,768,768
1031.jpg,squamous_cell_carcinoma,768,768
1833.jpg,squamous_cell_carcinoma,768,768
2675.jpg,squamous_cell_carcinoma,768,768
0077.jpg,squamous_cell_carcinoma,768,768
0498.jpg,squamous_cell_carcinoma,768,768
2172.jpg,squamous_cell_carcinoma,768,768
4765.jpg,squamous_cell_carcinoma,768,768
1749.jpg,squamous_cell_carcinoma,768,768
0610.jpg,squamous_cell_carcinoma,768,768
1501.jpg,squamous_cell_carcinoma,768,768
2021.jpg,squamous_cell_carcinoma,768,768
3899.jpg,squamous_cell_carcinoma,768,768
1995.jpg,squamous_cell_carcinoma,768,768
1385.jpg,squamous_cell_carcinoma,768,768
3651.jpg,squamous_cell_carcinoma,768,768
0617.jpg,squamous_cell_carcinoma,768,768
4398.jpg,squamous_cell_carcinoma,768,768
4581.jpg,squamous_cell_carcinoma,768,768
3537.jpg,squamous_cell_carcinoma,768,768
2278.jpg,squamous_cell_carcinoma,768,768
1971.jpg,squamous_cell_carcinoma,768,768
3807.jpg,squamous_cell_carcinoma,768,768
1383.jpg,squamous_cell_carcinoma,768,768
1354.jpg,squamous_cell_carcinoma,768,768
1024.jpg,squamous_cell_carcinoma,768,768
